Geneid	male_24m_2	male_24m_1	male_3m_5	male_24m_7	male_3m_6	male_3m_3	male_24m_4
ENSMUSG00000079658	130	262	232	471	361	89	209
ENSMUSG00000097744	20	16	20	21	10	1	22
ENSMUSG00000100959	2	2	4	7	4	8	11
ENSMUSG00000025940	94	261	183	391	272	63	195
ENSMUSG00000125087	4	5	13	2	7	6	9
ENSMUSG00000025779	25	31	16	40	25	21	26
ENSMUSG00000100093	0	0	0	0	0	3	0
ENSMUSG00000091020	8	1	4	4	0	1	15
ENSMUSG00000142287	13	10	17	7	4	10	22
ENSMUSG00000101640	0	0	3	0	1	2	0
ENSMUSG00000104133	9	3	18	0	8	15	4
ENSMUSG00000042686	61	232	25	141	71	34	178
ENSMUSG00000127806	4	9	7	4	0	4	19
ENSMUSG00000127769	3	3	3	0	2	1	4
ENSMUSG00000100110	6	14	9	5	7	20	23
ENSMUSG00000025777	66	101	94	44	53	94	136
ENSMUSG00000099899	15	3	17	1	12	4	12
ENSMUSG00000138285	5	4	9	1	4	3	17
ENSMUSG00000100272	1	0	2	0	1	0	3
ENSMUSG00000137468	6	7	3	3	2	5	11
ENSMUSG00000137506	8	1	1	2	3	2	2
ENSMUSG00000100398	0	0	0	0	0	0	0
ENSMUSG00000101589	14	15	22	17	22	17	11
ENSMUSG00000102048	4	8	4	2	2	14	6
ENSMUSG00000089534	2	0	1	1	3	2	5
ENSMUSG00000067780	23	31	47	38	25	34	53
ENSMUSG00000100053	7	17	2	13	15	20	15
ENSMUSG00000085125	62	20	66	12	26	62	53
ENSMUSG00000025776	60	70	124	64	159	91	69
ENSMUSG00000099895	6	1	2	4	3	13	17
ENSMUSG00000109887	14	7	29	8	10	13	46
ENSMUSG00000100554	5	5	13	1	1	4	21
ENSMUSG00000099473	1	0	0	0	1	0	2
ENSMUSG00000099591	18	6	10	4	4	7	13
ENSMUSG00000102001	0	2	0	0	0	0	4
ENSMUSG00000101717	2	2	1	0	2	0	5
ENSMUSG00000025774	28	25	22	11	16	28	42
ENSMUSG00000142595	9	13	5	2	3	21	12
ENSMUSG00000070977	1	0	0	0	0	4	1
