baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene_name
ENSMUSG000000642154	654.238562855955	0.61794094928728	0.0642596994270004	9.61630625100055	6.82376545794591e-22	2.10498171109476e-20	Ifi27
ENSMUSG000000211885	554.365707662041	0.823388214863789	0.0683095922204094	12.0537714850796	1.8527436201842e-33	1.56374821502995e-31	Trip11
ENSMUSG000000209616	141.668254863763	0.640301678896401	0.0905820951760843	7.06874440971702	1.56341798342145e-12	1.94959848270593e-11	Ston2
ENSMUSG00000098134	205.42095860734	0.511894164189581	0.0644070989746737	7.94779104071849	1.89866556754965e-15	3.18818516333993e-14	Rnf113a2
ENSMUSG00000020990	185.917448350479	0.809288917628404	0.0902494350988858	8.96724635164387	3.04019599925101e-19	7.42783370581012e-18	Cdkl1
ENSMUSG000000209490	2271.34005879856	0.795403964748198	0.0544945560688125	14.5960261378001	2.97699461781109e-48	8.56808820952211e-46	Fkbp3
ENSMUSG000000209930	2048.53173533268	0.569490055529229	0.0294328378373918	19.3487987354635	2.08648591721448e-83	4.61931932179614e-80	Trappc6b
ENSMUSG000000226988	1433.50706786429	0.731474999121385	0.0434043318376654	16.8525805640124	1.00434876620503e-63	8.50181230592554e-61	Naa50
ENSMUSG00000112449	953.08740114176	0.76805147567171	0.0702968009054026	10.9258382426999	8.67358054158097e-28	4.41830657641136e-26	Srp54b
ENSMUSG000000056560	807.524921955667	0.533408309394154	0.0403003227416838	13.2358321994884	5.44898157242427e-40	8.16808013728869e-38	Snx6
ENSMUSG000000474469	799.375082790863	0.532937997957188	0.0622499536342404	8.56125935592741	1.11641241504482e-17	2.31996142363935e-16	Arl4a
ENSMUSG000000598243	1850.06963644829	0.70468690600053	0.0834280973478376	8.44663762452201	2.99812513424484e-17	5.9633061153214e-16	Dbp
ENSMUSG000000291315	3837.85976846884	0.623338419191115	0.0431953887734928	14.4306704231733	3.31839764710945e-47	8.84322247050527e-45	Dnajb6
ENSMUSG000000206506	1105.9780733415	0.540665832428053	0.052355013080993	10.3269161940929	5.32448828787767e-25	2.11663117974319e-23	Bcap29
ENSMUSG000000206440	3142.10249391285	0.668762442824404	0.066710757567934	10.024806600995	1.18591546089468e-23	4.21901518912357e-22	Id2
ENSMUSG000000104063	506.100209938936	0.596121840011041	0.0857698809530024	6.95024679278366	3.64647735027077e-12	4.35654896712923e-11	Mrpl52
ENSMUSG00000037361	1159.39068586959	0.721542190945177	0.0548363995130073	13.1580883747487	1.52905678911276e-39	2.17860314096308e-37	Sf3b6
ENSMUSG000000419977	698.405794007801	0.535016986530226	0.0406439172478424	13.1635192362918	1.42300174157903e-39	2.03758274250677e-37	Tlk1
