gene_id	SRR9126859	SRR9126934	SRR9127063	SRR9127293	SRR9127308	SRR9127357	SRR9127396
ENSMUSG00000001036.18	2.468409	2.068895	1.90255	2.957672	3.331489	1.304986	4.281895
ENSMUSG00000001039.13	2.752156	1.598234	1.424012	2.444005	0.370724	0.745346	2.444676
ENSMUSG00000001052.16	3.067922	1.942858	3.176791	2.111213	4.12614	0.996463	2.290038
ENSMUSG00000001053.16	0.267335	0	0.226661	0	0	0.109492	0.085128
ENSMUSG00000001054.10	1.379395	2.547467	2.126956	6.086591	2.775401	0.986989	2.246312
ENSMUSG00000001056.4	7.106243	10.822786	8.971908	21.806591	18.046272	2.248745	8.766057
ENSMUSG00000001062.19	3.034052	4.746229	7.804397	9.050648	8.694628	2.922673	5.94549
ENSMUSG00000001065.16	3.815116	2.701767	4.255575	5.633624	7.64903	1.448442	3.376621
ENSMUSG00000001076.8	0	0.093841	0.102804	0.124487	0.103155	0.021425	0
ENSMUSG00000001082.13	4.571792	8.727906	8.155304	12.71337	7.24344	1.570757	6.355935
ENSMUSG00000001089.15	3.607956	3.491414	8.284468	6.686062	2.809546	1.77052	3.234047
ENSMUSG00000001095.6	0.124698	0	0.0922	0.232332	0.145834	0	0.098532
ENSMUSG00000001098.16	0.489777	2.821088	1.901449	3.737088	4.369779	0.502173	1.885111
ENSMUSG00000001100.11	5.24356	5.268793	7.500095	5.455513	7.370821	2.359283	9.499894
ENSMUSG00000001103.8	0.319434	0	0.122272	0	0.0823	0.075575	0.625102
ENSMUSG00000001105.16	7.933528	10.486911	7.949517	14.06278	16.598747	2.823267	8.192397
ENSMUSG00000001119.8	5.907496	15.195689	17.934441	8.766654	30.699229	3.13169	8.455961
ENSMUSG00000001120.16	0.458127	0.200851	0.569725	0.813045	1.433937	0.142935	0.638784
ENSMUSG00000001123.16	0.116911	0.086888	0.659562	0.090007	0.195846	0.125282	0.204445
ENSMUSG00000001127.13	8.378877	15.262085	8.594926	18.479272	14.809644	2.545238	11.468507
ENSMUSG00000001128.8	39.247581	28.567617	40.109968	151.24952	55.84359	4.814608	21.880054
ENSMUSG00000001131.12	4.525414	9.833751	2.272815	7.52568	7.121965	1.530928	0
ENSMUSG00000001134.10	1.892192	7.460496	4.592053	8.063926	2.371725	1.46071	4.112434
ENSMUSG00000001138.14	0.707926	0.054776	0.729135	0.757488	1.424015	0	1.463625
ENSMUSG00000001143.14	4.595754	3.968674	5.741245	6.705233	7.52244	2.680148	5.048134
ENSMUSG00000001150.8	3.272773	5.141782	4.7509	4.771041	10.213744	2.552469	4.159865
ENSMUSG00000001151.11	2.049087	3.545201	2.258103	4.489341	3.824686	0.816133	3.124799
ENSMUSG00000001155.14	0.160906	0	0.495422	0	0.116531	0.076608	0.11059
ENSMUSG00000001156.10	3.175825	4.284939	6.875754	12.115113	8.021741	1.067835	6.058557
ENSMUSG00000001157.14	1.483315	2.06415	2.108498	2.328595	1.825236	1.200769	3.513695
ENSMUSG00000001158.14	0.928187	2.07535	2.238906	1.478706	0.246309	0.320987	2.999757
ENSMUSG00000001166.18	0.185221	0.125207	0.372804	0.597631	1.028483	0.902203	0.746633
ENSMUSG00000001168.17	0	0.06142	0	0	0	0	0
ENSMUSG00000001173.16	7.333533	4.236578	10.404811	4.630248	5.760152	3.929431	8.456042
ENSMUSG00000001175.17	16.719802	25.040803	15.060879	47.858002	38.323462	2.485604	18.465581
ENSMUSG00000001211.16	10.274768	16.109642	9.040998	22.060527	17.439242	1.367344	10.208982
ENSMUSG00000001225.13	0.454322	0.19505	0.643014	0.316507	0.163072	0.370107	1.037537
ENSMUSG00000001227.13	0.165794	0.318032	0.262878	0.506866	0.484979	0.102172	0.258491
ENSMUSG00000001228.15	3.523629	12.222734	11.831041	21.077155	24.331628	4.5823	4.862023
ENSMUSG00000001229.10	3.398215	6.310286	6.184469	10.681696	9.805693	0.785351	4.86288
ENSMUSG00000001240.14	2.183612	6.05011	2.149468	3.786646	6.859919	0.486682	3.450107
ENSMUSG00000001247.17	0	0	0	0.361519	0	0	0
ENSMUSG00000001248.16	4.220518	5.726434	7.026402	12.01956	10.835265	1.706998	5.885138
