Geneid	male_4m_1	male_4m_2	male_4m_3	male_4m_4	male_4m_5	female_4m_1	female_4m_2	female_4m_3	female_4m_4	female_4m_5	male_18m_1	male_18m_2	male_18m_3	male_18m_4	male_18m_5	female_18m_1	female_18m_2	female_18m_3	female_18m_4	female_18m_5
ENSMUSG00000139476	2	0	0	0	0	0	0	0	0.975	0	0	0.99	0	0	0	0	0	0	1	0
ENSMUSG00000106335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG000000268103	920	784.999	1343	879	655	813	603	726.999	929	1219	614	714	699.999	495	463	614	836	578.999	861.001	786.001
ENSMUSG000000561445	22.199	42	67	32.627	32	29	31	28	36	50.486	37	43	40	24	18	50	25.753	32	45	31
ENSMUSG00000112127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000038195	29	29	34	18	25	23	14	16	23	26	20	27	22	16	5	20	41	20	38	22
ENSMUSG00000107129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000108378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.172	0	0	1.022	0
ENSMUSG00000053720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000113609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000127250	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000056223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000095170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
