Geneid	WT_C_1	WT_C_2	WT_C_3	WT_T_1	WT_T_2	WT_T_3	KO_C_1	KO_C_2	KO_C_3	KO_T_1	KO_T_2	KO_T_3
ENSMUSG00000139014	3	2	3	3	5	1	2	1	0	0	1	7
ENSMUSG00000138973	1	3	5	8	6	9	3	4	2	0	0	1
ENSMUSG00000103561	1	7	8	21	16	12	7	3	5	4	1	5
ENSMUSG00000134440	2	3	5	23	5	13	3	4	8	0	2	1
ENSMUSG00000101610	1	1	1	5	1	3	0	2	1	1	1	0
ENSMUSG00000141382	1	2	4	10	5	19	6	1	5	1	2	4
ENSMUSG00000118923	0	1	0	1	0	2	1	0	0	0	0	0
ENSMUSG00000098555	0	0	0	2	0	0	0	0	0	0	1	0
ENSMUSG00000143719	3	2	4	9	9	7	7	0	2	1	3	6
ENSMUSG00000097628	1	1	2	2	3	0	1	2	1	3	2	0
ENSMUSG00000098163	4	2	1	4	1	4	2	0	4	0	0	0
ENSMUSG00000097171	8	14	12	23	20	49	13	16	7	7	2	9
ENSMUSG00000101314	1	0	3	6	6	4	1	0	2	2	0	2
ENSMUSG000000169186	20	18	31	75	73	83	44	23	42	7	22	24
ENSMUSG00000127288	0	0	1	1	2	6	2	0	3	0	0	1
ENSMUSG000000259387	44	48	61	66	68	65	84	38	71	24	28	29
ENSMUSG00000104518	3	5	1	9	8	6	3	3	3	2	0	3
ENSMUSG00000141815	1	11	8	14	14	17	12	9	11	7	2	3
ENSMUSG00000069620	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099498	4	16	12	21	30	13	25	9	17	5	3	2
ENSMUSG00000042414	7	11	4	16	18	17	16	2	10	5	2	11
ENSMUSG000000058865	2752	1592	2712	1129	826	922	2775	1855	1861	2704	3825	3769
ENSMUSG00000103506	45	23	63	30	20	24	38	37	38	77	87	94
ENSMUSG00000103495	28	34	55	21	11	30	37	29	29	18	65	89
ENSMUSG00002076346	3	6	3	3	2	4	6	0	3	2	7	7
ENSMUSG00000102639	18	4	15	6	3	8	13	11	12	12	21	34
ENSMUSG00000104170	47	34	65	30	31	36	44	26	46	24	66	92
ENSMUSG00000134412	16	16	19	6	2	17	12	10	5	10	38	52
ENSMUSG00000087782	0	2	2	7	0	1	0	0	0	1	3	6
ENSMUSG00000103085	80	86	102	67	50	63	66	77	51	114	207	279
ENSMUSG00000102664	47	37	79	32	23	51	40	30	45	50	75	126
ENSMUSG00000134452	87	98	111	92	27	65	113	58	72	103	232	234
ENSMUSG00000101476	43	9	16	22	18	29	22	12	22	29	46	43
ENSMUSG00000134491	15	6	10	4	7	3	19	11	4	13	7	11
ENSMUSG00000122424	3	1	3	11	6	15	0	2	1	0	0	0
ENSMUSG00000101171	0	1	4	7	3	2	1	4	3	1	0	2
ENSMUSG00000126000	0	0	2	5	6	6	0	0	1	0	0	2
ENSMUSG000000259351	3043	1578	2451	921	894	747	3566	2263	2753	4316	3900	3404
ENSMUSG00000120948	23	13	18	69	54	60	20	13	12	21	10	25
ENSMUSG00000131318	1	6	9	19	2	9	0	3	1	0	0	1
ENSMUSG00000025937	782	452	677	275	192	173	901	612	683	752	866	738
ENSMUSG00000102982	39	33	34	15	13	18	41	22	21	28	48	53
ENSMUSG00000067813	1	4	1	12	5	9	3	3	3	3	4	2
ENSMUSG00000077368	0	0	0	4	2	2	3	0	1	0	0	0
ENSMUSG00000097711	3	1	3	2	10	6	8	4	7	0	4	5
ENSMUSG00000134219	4	10	9	31	26	48	16	7	11	3	6	4
ENSMUSG00000102166	3	3	5	7	11	6	2	1	2	1	1	0
ENSMUSG00002075174	1	1	2	1	5	3	11	2	3	2	1	2
ENSMUSG00000104209	9	7	14	14	18	19	10	8	9	7	3	3
ENSMUSG000000259325	16	16	19	31	36	59	19	11	9	6	4	5
ENSMUSG00002075819	0	0	3	1	1	2	2	2	0	0	2	1
ENSMUSG00000102588	0	0	2	3	1	5	2	0	1	1	4	1
ENSMUSG00000127312	3	1	6	10	10	11	2	4	2	3	0	1
ENSMUSG00000127278	0	0	3	14	7	22	9	5	6	0	1	3
ENSMUSG00000140763	0	1	1	7	12	11	3	0	3	2	0	1
ENSMUSG00000140464	1	0	2	3	2	9	3	1	5	0	0	1
ENSMUSG00000134469	1	3	7	4	4	4	2	0	2	1	0	0
ENSMUSG00000054493	10	26	31	41	46	26	11	14	11	3	5	7
ENSMUSG00000025930	2	2	7	14	12	8	10	3	4	4	2	4
ENSMUSG00000103492	2	7	7	21	7	15	10	2	9	3	2	4
ENSMUSG00000081201	10	6	8	5	2	3	8	8	7	21	14	8
ENSMUSG00000082193	36	22	32	17	6	11	42	30	45	62	58	22
ENSMUSG00000032769	5	7	9	24	8	35	6	4	9	13	11	13
ENSMUSG00000088159	0	0	1	6	1	1	0	1	2	0	0	0
ENSMUSG00000125466	1	6	4	9	6	15	3	1	5	1	3	1
ENSMUSG00000073737	6	0	2	3	1	1	5	5	1	6	6	2
ENSMUSG00000092083	15	21	30	53	47	49	32	23	29	11	4	17
ENSMUSG00000128216	1	0	1	1	0	2	0	1	0	0	1	0
ENSMUSG00000102937	2	2	3	2	2	10	3	5	2	1	0	0
ENSMUSG00000104149	0	5	2	16	2	8	3	2	1	0	0	2
ENSMUSG00000137925	2	3	7	5	8	14	4	1	2	0	0	3
ENSMUSG00000088829	0	0	1	1	4	0	0	0	0	0	0	0
ENSMUSG00000132707	1	0	0	8	3	5	1	5	2	1	0	1
ENSMUSG00000077377	0	0	0	0	1	2	1	0	0	0	0	0
ENSMUSG00000101652	1	0	0	2	1	4	2	0	1	0	0	0
ENSMUSG00000100814	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000132745	2	2	2	17	11	25	9	9	13	3	5	7
ENSMUSG00000132786	2	1	1	5	7	3	3	2	1	2	1	1
ENSMUSG000000259255	271	187	288	144	111	126	295	182	247	362	485	441
ENSMUSG00000104379	4	0	6	18	6	7	11	2	10	20	21	30
ENSMUSG00000032719	7	4	7	17	6	12	5	3	4	4	9	7
ENSMUSG00002076565	0	0	0	4	0	3	3	0	0	0	0	0
ENSMUSG00000137819	1	1	0	8	5	4	2	1	0	0	0	1
ENSMUSG00000100652	0	2	0	4	1	6	2	3	4	0	0	1
ENSMUSG000000677954	8	12	9	22	14	35	7	10	9	0	4	5
ENSMUSG00000136711	2	1	6	3	5	12	4	0	1	1	0	0
ENSMUSG000000437164	30899	12979	23554	7426	9483	4081	36975	25968	25736	49035	48238	24666
ENSMUSG00000025921	200	89	133	57	63	54	153	113	90	156	180	186
ENSMUSG00000132226	5	1	3	9	5	8	7	2	7	2	3	7
ENSMUSG00000104165	2	6	5	7	8	17	9	2	7	4	0	0
ENSMUSG00000100868	5	5	12	9	18	24	11	7	6	5	5	3
ENSMUSG000000259200	51	51	53	36	38	61	84	53	61	32	24	31
ENSMUSG00000089982	3	7	6	15	7	22	13	3	8	5	2	5
ENSMUSG000000259390	413	321	460	183	144	104	631	503	477	585	619	478
ENSMUSG00000102457	33	20	24	36	15	31	25	14	22	20	24	19
ENSMUSG000000796580	901	415	769	150	170	112	1360	868	1004	983	953	552
ENSMUSG00000097744	7	8	13	30	21	35	8	5	13	10	0	11
ENSMUSG00000100959	0	0	1	3	2	5	1	0	1	0	0	0
ENSMUSG00000025940	740	287	489	96	103	65	847	560	675	567	624	435
ENSMUSG00000125087	17	8	6	11	3	9	8	2	4	9	23	8
ENSMUSG000000257791	29	22	18	9	19	18	50	32	40	34	46	35
ENSMUSG00000100093	0	0	0	7	5	4	1	1	4	0	0	0
ENSMUSG00000091020	7	5	8	9	6	15	5	1	4	6	2	5
ENSMUSG00000142287	3	11	15	33	6	31	9	5	7	3	0	3
ENSMUSG00000101640	0	0	1	0	2	1	0	0	0	0	0	0
ENSMUSG00000104133	3	0	1	8	2	4	3	0	4	0	0	0
ENSMUSG00000042686	6	16	11	28	28	31	20	11	14	1	6	13
ENSMUSG00000127806	2	1	4	8	9	11	4	3	5	1	2	6
ENSMUSG00000127769	2	4	1	7	3	8	2	0	2	0	0	1
ENSMUSG00000100110	1	6	7	3	3	8	3	1	1	2	1	4
ENSMUSG00000025777	11	7	11	52	38	45	28	9	23	4	2	9
ENSMUSG00000099899	1	4	6	6	3	11	2	1	1	0	1	4
ENSMUSG00000138285	0	2	1	5	3	8	1	1	3	0	0	2
