Geneid	male_24m_2	male_24m_1	male_3m_5	male_24m_7	male_3m_6	male_3m_3	male_24m_4
ENSMUSG00000101468	0	8	11	2	1	2	4
ENSMUSG00000101227	15	24	18	4	3	16	33
ENSMUSG00000073730	2	7	6	1	3	3	16
ENSMUSG00000141721	11	4	10	3	2	6	16
ENSMUSG00000141755	13	2	5	1	3	1	4
ENSMUSG00000089553	1	1	2	0	0	1	1
ENSMUSG00000102766	0	1	0	1	4	5	0
ENSMUSG00000134304	55	84	63	59	68	71	115
ENSMUSG00000065405	0	0	0	1	0	0	0
ENSMUSG00000097970	3	6	5	3	0	4	7
ENSMUSG00000065567	0	0	0	0	0	0	0
ENSMUSG00000100775	1	9	2	1	0	0	0
ENSMUSG00000133147	0	0	0	0	1	0	0
ENSMUSG00000101226	4	0	2	2	0	6	11
ENSMUSG00000026158	218	569	639	1156	987	191	430
ENSMUSG00000138593	14	5	8	3	2	7	17
ENSMUSG00000097920	4	7	10	3	4	4	12
ENSMUSG00000099503	21	16	34	6	4	7	16
ENSMUSG00000142633	0	0	3	2	0	0	2
ENSMUSG00000026156	21	28	49	29	48	42	65
ENSMUSG00000026155	118	201	156	323	258	63	173
ENSMUSG00000141937	0	4	4	1	2	0	4
ENSMUSG00000141893	5	6	11	0	9	2	8
ENSMUSG00000026154	27	54	44	85	69	24	45
ENSMUSG00000102495	7	3	3	2	5	2	7
ENSMUSG00000026153	84	157	103	104	178	86	188
ENSMUSG00000143955	0	0	2	0	0	0	0
ENSMUSG00000102398	8	7	11	4	10	13	13
ENSMUSG00000122847	11	21	21	14	10	28	13
ENSMUSG00000097670	6	12	14	3	4	5	11
ENSMUSG00000026147	46	37	135	11	41	149	52
ENSMUSG00000026141	72	36	79	50	38	63	112
ENSMUSG00000125396	3	17	2	3	6	6	13
ENSMUSG00000125434	5	7	2	2	0	2	0
ENSMUSG00000077463	0	0	0	1	0	4	0
ENSMUSG00000099997	9	8	13	4	3	11	6
ENSMUSG00000100131	2	1	1	0	0	0	3
ENSMUSG00000067736	1	0	3	0	0	0	3
ENSMUSG00000138098	7	3	0	0	0	4	1
ENSMUSG00000101939	0	0	0	0	0	0	0
ENSMUSG00000101111	0	3	1	1	2	1	1
ENSMUSG00000100862	0	0	1	0	2	0	1
ENSMUSG00000102070	0	0	0	0	1	0	2
ENSMUSG00000101249	5	2	2	1	2	2	4
ENSMUSG00000127021	3	3	13	6	7	3	6
ENSMUSG00000073725	232	477	479	796	630	129	429
ENSMUSG00000133176	0	0	4	0	6	4	6
ENSMUSG00000129414	2	1	0	0	0	0	0
ENSMUSG00000143216	1	6	7	4	2	2	12
ENSMUSG00000100808	2	0	2	0	2	0	3
ENSMUSG00000130976	5	1	2	0	3	1	7
ENSMUSG00000100483	1	11	7	3	4	4	13
ENSMUSG00000135830	1	3	1	0	0	1	4
ENSMUSG00000100450	1	0	7	0	0	1	0
ENSMUSG00000099392	0	1	3	1	1	2	4
ENSMUSG00000122244	15	12	13	9	4	28	42
ENSMUSG00000033569	97	86	172	50	46	108	112
ENSMUSG00000080849	0	0	1	0	1	0	0
ENSMUSG00000122289	0	5	9	0	2	0	5
ENSMUSG00000104257	3	2	2	1	5	1	3
ENSMUSG00000119153	0	0	0	0	0	0	0
ENSMUSG00000102296	1	5	2	0	0	0	0
ENSMUSG00000103209	13	6	30	12	8	17	28
ENSMUSG00000104027	25	51	52	19	26	34	49
ENSMUSG00000102407	5	19	8	3	2	7	28
ENSMUSG00000103214	38	31	34	15	17	18	16
ENSMUSG00000104100	16	10	20	5	4	6	30
ENSMUSG00000084740	4	1	1	1	0	0	2
ENSMUSG00000103889	19	10	13	21	11	27	29
ENSMUSG00000101301	4	11	4	1	1	4	6
ENSMUSG00000104221	19	14	19	5	2	26	49
ENSMUSG00000102250	36	51	56	15	42	45	61
ENSMUSG00000102317	27	12	33	2	3	29	46
ENSMUSG00000133748	5	1	0	0	5	4	4
ENSMUSG00000103563	9	15	3	7	8	10	17
ENSMUSG00000102465	7	33	20	12	9	15	48
ENSMUSG00000102659	5	7	9	5	0	7	16
ENSMUSG00000103924	26	13	28	9	14	15	43
ENSMUSG00000104132	42	36	44	15	20	63	57
ENSMUSG00000102747	30	76	52	30	38	79	46
ENSMUSG00000102386	6	1	2	2	5	1	15
ENSMUSG00000103004	1	0	0	0	0	1	2
ENSMUSG00000135201	0	0	0	0	0	0	0
ENSMUSG00000104516	0	2	1	0	7	0	0
ENSMUSG00000130306	5	8	8	5	1	8	15
ENSMUSG00000101618	0	5	9	0	3	1	6
ENSMUSG00000099458	2	2	6	0	3	0	1
ENSMUSG00000088111	1	7	2	1	0	0	2
ENSMUSG00000140232	7	20	30	4	10	24	23
